content,score,sentiment_rating,wordCount,review_with_stopwords,wordCount_after_stopwords,review_stemmed
skrg ketemu dokter tinggal video call aja mantep ga diragukan lagi,5,Positive,11,skrg ketemu dokter tinggal video call aja mantep ga diragukan,10,skrg ketemu dokter tinggal video call aja mantep ga diragukan
semua ayo pake yesdok yuk jgn ditunda lagi,5,Positive,8,ayo pake yesdok yuk jgn ditunda,6,ayo pake yesdok yuk jgn ditunda
"semoga yedok selalu jadi pilihan semuanya,, mantuull!!",5,Positive,11,semoga yedok pilihan mantuull  ,4,semoga yedok pilihan mantuul
wah keren bgt apps ini mantap no bug,5,Positive,8,keren apps mantap no bug,5,keren app mantap no bug
ini baru aplikasi kesehatan mantap dan ga ribet,5,Positive,8,aplikasi kesehatan mantap ga ribet,5,aplikasi kesehatan mantap ga ribet
24 jam mantep banget kalau mau apa apa aja bisa,5,Positive,10, jam mantep aja,3,jam mantep aja
aku pasti rekomendasiin yesdok ini ke temen temen aku deh.makasih,5,Positive,10,rekomendasiin yesdok temen temen dehmakasih,5,rekomendasiin yesdok temen temen dehmakasih
skrg mau beli obat tinggal pake yesdok deh gausah yang lain,5,Positive,11,skrg beli obat tinggal pake yesdok gausah,7,skrg beli obat tinggal pake yesdok gausah
terima kasih ya yesdok udah bantu aku konsul sama dokter yang keren,5,Positive,12,terima kasih ya yesdok udah bantu konsul dokter keren,9,terima kasih ya yesdok udah bantu konsul dokter keren
udah sampe nih obat aku makasih yesdok,5,Positive,7,udah sampe obat makasih yesdok,5,udah samp obat makasih yesdok
mantulllll bangettt aplikasinya,5,Positive,3,mantulllll bangettt aplikasinya,3,mantullll bangettt aplikasinya
mudah banget pake yesdok ini semoga jaya terus,5,Positive,8,mudah pake yesdok semoga jaya,5,mudah pake yesdok semoga jaya
aku selalu pake yesdok nih belakangan ini dan keren bgt,5,Positive,10,pake yesdok keren,3,pake yesdok keren
konsul nya gampang bgt nih di yesdok recommended,5,Positive,8,konsul nya gampang yesdok recommended,5,konsul nya gampang yesdok recommend
tinggal video call aja deh gampang skrg ketemu dokter online,5,Positive,10,tinggal video call aja gampang skrg ketemu dokter online,9,tinggal video call aja gampang skrg ketemu dokter onlin
konsultasinya mudah banget sih,5,Positive,4,konsultasinya mudah,2,konsultasinya mudah
konsul sama dokter jadi mudah banget deh,5,Positive,7,konsul dokter mudah,3,konsul dokter mudah
yesdok emang juaranya kalo buat konsultasi online,5,Positive,7,yesdok emang juaranya kalo konsultasi online,6,yesdok emang juaranya kalo konsultasi onlin
makasih bgt ya yesdok dan tim udah bantu,5,Positive,8,makasih ya yesdok tim udah bantu,6,makasih ya yesdok tim udah bantu
semoga terus maju ya untuk yesdok dan timnya.,5,Positive,9,semoga maju ya yesdok timnya,5,semoga maju ya yesdok timnya
selama ini ga pernah nyesel selalu pake yesdok,5,Positive,8,ga nyesel pake yesdok,4,ga nyesel pake yesdok
ini baru aplikasi kesehatan mantap,5,Positive,5,aplikasi kesehatan mantap,3,aplikasi kesehatan mantap
semoga terus maju dan terus berusaha jadi yang terbaik ya yesdok.,5,Positive,12,semoga maju berusaha terbaik ya yesdok,6,semoga maju berusaha terbaik ya yesdok
juara bgt emang pelayanannya apk yesdok,5,Positive,6,juara emang pelayanannya apk yesdok,5,juara emang pelayanannya apk yesdok
yesdok emang mantep banget nih buat semuanya wajib download,5,Positive,9,yesdok emang mantep wajib download,5,yesdok emang mantep wajib download
mudah bgt sih ini buat konsultasinya pake yesdok,5,Positive,8,mudah konsultasinya pake yesdok,4,mudah konsultasinya pake yesdok
24 jam on terus mantep bgt yesdok mantul,5,Positive,8, jam on mantep yesdok mantul,5,jam on mantep yesdok mantul
"pelayanan nya juara banget banget banget, dokternya baik dan ramah",5,Positive,11,pelayanan nya juara dokternya ramah,5,pelayanan nya juara dokternya ramah
yesdok selalu di hatiku dan keluarga,5,Positive,6,yesdok hatiku keluarga,3,yesdok hatiku keluarga
sekarang jamannya konsultasi online pake hp,5,Positive,6,jamannya konsultasi online pake hp,5,jamannya konsultasi onlin pake hp
sangat memuaskan pakai aplikasi ini dokternya selalu standby 24 jam,5,Positive,10,memuaskan pakai aplikasi dokternya standby  jam,6,memuaskan pakai aplikasi dokternya standbi jam
mau anter obat juga cepet banget ini mantul,5,Positive,8,anter obat cepet mantul,4,anter obat cepet mantul
semoga aku akan terus pake yesdok ya selamanya,5,Positive,8,semoga pake yesdok ya,4,semoga pake yesdok ya
aplikasinya bagus banget ya parahh dan keren abis,5,Positive,8,aplikasinya bagus ya parahh keren abis,6,aplikasinya bagu ya parahh keren abi
yesdok emang juaranya kalo soal konsultasi online ..,5,Positive,8,yesdok emang juaranya kalo konsultasi online ,6,yesdok emang juaranya kalo konsultasi onlin
super recommended banget buat apk ini,5,Positive,6,super recommended apk,3,super recommend apk
aku selalu suruh keluarga aku untuk pake aplikasi yesdok ini,5,Positive,10,suruh keluarga pake aplikasi yesdok,5,suruh keluarga pake aplikasi yesdok
dokternya baik banget ya disini,5,Positive,5,dokternya ya,2,dokternya ya
semoga aplikasi ini terus berjaya ya mantul,5,Positive,7,semoga aplikasi berjaya ya mantul,5,semoga aplikasi berjaya ya mantul
jernih bgt pas lagi konsultasi online sama dokter,5,Positive,8,jernih pas konsultasi online dokter,5,jernih pa konsultasi onlin dokter
wow dokternya sangat keren dan sangat membantu saya kasih bintang 5 makasih ya dok,5,Positive,14,wow dokternya keren membantu kasih bintang  makasih ya dok,9,wow dokternya keren membantu kasih bintang makasih ya dok
terpercaya abis nih dokter dokter disini mantul,5,Positive,7,terpercaya abis dokter dokter mantul,5,terpercaya abi dokter dokter mantul
dokternya baik banget pas aku konsultasi disini nih,5,Positive,8,dokternya pas konsultasi,3,dokternya pa konsultasi
terima kasih ya yesdok aku bisa konsultasi sama dokter,5,Positive,9,terima kasih ya yesdok konsultasi dokter,6,terima kasih ya yesdok konsultasi dokter
ayo download yesdok sekarang juga ya !!!,5,Positive,9,ayo download yesdok ya   ,4,ayo download yesdok ya
applikasi nya sangat membantu sekali bagusss bangett,5,Positive,7,applikasi nya membantu bagusss bangett,5,applikasi nya membantu bagusss bangett
mau review bagus banget untuk yesdok ini,5,Positive,7,review bagus yesdok,3,review bagu yesdok
makasih ya yesdok yang udah bantu banget,5,Positive,7,makasih ya yesdok udah bantu,5,makasih ya yesdok udah bantu
masalah kesehatan jadi mudah bet sama yesdok,5,Positive,7,kesehatan mudah bet yesdok,4,kesehatan mudah bet yesdok
semoga sukses terus ya yesdok mantep,5,Positive,6,semoga sukses ya yesdok mantep,5,semoga suks ya yesdok mantep
konsul jadi super mudah banget loh guys,5,Positive,7,konsul super mudah guys,4,konsul super mudah guy
aplikasinya bantu banget nih buat aku,5,Positive,6,aplikasinya bantu,2,aplikasinya bantu
beli obat cepet bgt sampenya,5,Positive,5,beli obat cepet sampenya,4,beli obat cepet sampenya
ramah bgt ya dokter dokter disini,5,Positive,6,ramah ya dokter dokter,4,ramah ya dokter dokter
sekarang mau konsultasi dokter jadi cepet bgt,5,Positive,7,konsultasi dokter cepet,3,konsultasi dokter cepet
sangat memuaskan pakai aplikasi ini dokternya standby 24 jam,5,Positive,9,memuaskan pakai aplikasi dokternya standby  jam,6,memuaskan pakai aplikasi dokternya standbi jam
sampenya super cepet bgt sih nih beli obat di yesdok,5,Positive,10,sampenya super cepet beli obat yesdok,6,sampenya super cepet beli obat yesdok
selalu ngebantu loh kalau soal masalah kesehatan,5,Positive,7,ngebantu kesehatan,2,ngebantu kesehatan
"dokter nya fast respon, sangat membantu",5,Positive,7,dokter nya fast respon membantu,5,dokter nya fast respon membantu
duh mantep bgt sih asli ini aplikasi kesehatan,5,Positive,8,duh mantep asli aplikasi kesehatan,5,duh mantep asli aplikasi kesehatan
beli obat jadi gampang dan cepet bgt,5,Positive,7,beli obat gampang cepet,4,beli obat gampang cepet
masalah kesehatan percayakan sama yesdok,5,Positive,5,kesehatan percayakan yesdok,3,kesehatan percayakan yesdok
jam 1 pagi sakit juga bisa pakai yesdok,5,Positive,8,jam  pagi sakit pakai yesdok,5,jam pagi sakit pakai yesdok
24 jam loh dokter dokternya,5,Positive,5, jam dokter dokternya,3,jam dokter dokternya
ngebantu bgt pas tiba tiba sakit,5,Positive,6,ngebantu pas sakit,3,ngebantu pa sakit
dokternya ada teruss,5,Positive,3,dokternya teruss,2,dokternya teruss
solusi lain kerumah sakit dimasa pandemi gini,5,Positive,7,solusi kerumah sakit dimasa pandemi gini,6,solusi kerumah sakit dimasa pandemi gini
eh bisa video call konsulnya,5,Positive,5,eh video call konsulnya,4,eh video call konsulnya
cara baru konsultasi ke dokter,5,Positive,5,konsultasi dokter,2,konsultasi dokter
konsul jadi gampang,5,Positive,3,konsul gampang,2,konsul gampang
masalah kesehatan semua jadi gampang sama yesdok,5,Positive,7,kesehatan gampang yesdok,3,kesehatan gampang yesdok
dokter-dokter nya ramah,5,Positive,3,dokterdokter nya ramah,3,dokterdokt nya ramah
tampilan apps nya bagus banget ya,5,Positive,6,tampilan apps nya bagus ya,5,tampilan app nya bagu ya
yesdok andalan lah pokoknya,5,Positive,4,yesdok andalan pokoknya,3,yesdok andalan pokoknya
rangkuman hasil konsulnya lengkap,5,Positive,4,rangkuman hasil konsulnya lengkap,4,rangkuman hasil konsulnya lengkap
"aplikasinya bagus, sangat membantu, dan hasil konsulnya lengkapp. good job!",5,Positive,14,aplikasinya bagus membantu hasil konsulnya lengkapp good job ,8,aplikasinya bagu membantu hasil konsulnya lengkapp good job
"aplikasi yang sangat bermanfaat, wawasan menjadi luas apalagi untuk saya sebagai seorang guru.",5,Positive,15,aplikasi bermanfaat wawasan luas guru,5,aplikasi bermanfaat wawasan lua guru
"aplikasinya sangat membantu, keluarga pake yes dok semua",5,Positive,9,aplikasinya membantu keluarga pake yes dok,6,aplikasinya membantu keluarga pake ye dok
videocall dongg konsulnya jadi lebih percaya,5,Positive,6,videocall dongg konsulnya percaya,4,videocal dongg konsulnya percaya
dokternya responnya cepet,5,Positive,3,dokternya responnya cepet,3,dokternya responnya cepet
aplikasi yang sangat membantu,5,Positive,4,aplikasi membantu,2,aplikasi membantu
sangat memuaskan pake aplikasi ini dokternya standby.,5,Positive,8,memuaskan pake aplikasi dokternya standby,5,memuaskan pake aplikasi dokternya standbi
belom kecewa gunain yesdok selama ini,5,Positive,6,belom kecewa gunain yesdok,4,belom kecewa gunain yesdok
pelayanannya sangat puas,5,Positive,3,pelayanannya puas,2,pelayanannya pua
disini cepet bgt respon dokternya,5,Positive,5,cepet respon dokternya,3,cepet respon dokternya
canggih ya mantep nih appsnya ,5,Positive,5,canggih ya mantep appsnya,4,canggih ya mantep appsnya
"aplikasi ini sangat bagus, sangat membantu ketika kita sedang terdesak, dokternya juga standby 24 jam. mantap",5,Positive,19,aplikasi bagus membantu terdesak dokternya standby  jam mantap,8,aplikasi bagu membantu terdesak dokternya standbi jam mantap
"terima kasihh aplikasinya sangat membatu saya semoga makin sukses, dan terus meningkatkan pelayanan",5,Positive,14,terima kasihh aplikasinya membatu semoga sukses meningkatkan pelayanan,8,terima kasihh aplikasinya membatu semoga suks meningkatkan pelayanan
cek kesehatan mudah bgt pake apps ini,5,Positive,7,cek kesehatan mudah pake apps,5,cek kesehatan mudah pake app
disini mau konsul gampang bgt ga ribet,5,Positive,7,konsul gampang ga ribet,4,konsul gampang ga ribet
cepet bgt untuk booking janji sama dokter,5,Positive,7,cepet booking janji dokter,4,cepet book janji dokter
gapake ribet deh kalau mau konsul disini,5,Positive,7,gapake ribet konsul,3,gapak ribet konsul
sangat membantu sekali pake aplikasi ini dokter nya 24 jam,5,Positive,10,membantu pake aplikasi dokter nya  jam,6,membantu pake aplikasi dokter nya jam
professional bgt loh semua dokter disini,5,Positive,6,professional dokter,2,profession dokter
layanan konsul nya bagus banget,5,Positive,5,layanan konsul nya bagus,4,layanan konsul nya bagu
video call konsultasi sama dokter darimana aja,5,Positive,7,video call konsultasi dokter darimana aja,6,video call konsultasi dokter darimana aja
dokter nya disini mantep bgt baik baik dan ramah,5,Positive,9,dokter nya mantep ramah,4,dokter nya mantep ramah
mudah bgt digunakan mantep mantep,5,Positive,5,mudah mantep mantep,3,mudah mantep mantep
tinggal pake apps ini aja kalau ada keluhan tengah malem,5,Positive,10,tinggal pake apps aja keluhan malem,6,tinggal pake app aja keluhan malem
mantep banget nih pelayanan yang dikasih,5,Positive,6,mantep pelayanan dikasih,3,mantep pelayanan dikasih
dimana mana aja bisa loh konsultasi online,5,Positive,7,dimana aja konsultasi online,4,dimana aja konsultasi onlin
booking janji sama dokter mudah bgt disini,5,Positive,7,booking janji dokter mudah,4,book janji dokter mudah
disini mudah bgt untuk booking janji sama dokter,5,Positive,8,mudah booking janji dokter,4,mudah book janji dokter
yes dok sangat luar biasa. dokter yang melayani konsultasi sangat ramah dan fast respon. dan tersedia 24/7.seneng banget.super recomended nih apps nya makasih yesdok.,5,Positive,27,yes dok dokter melayani konsultasi ramah fast respon tersedia seneng bangetsuper recomended apps nya makasih yesdok,16,ye dok dokter melayani konsultasi ramah fast respon tersedia seneng bangetsup recomend app nya makasih yesdok
video call sama dokter bisa dimana aja,5,Positive,7,video call dokter dimana aja,5,video call dokter dimana aja
dimana aja bisa bgt konsultasi online,5,Positive,6,dimana aja konsultasi online,4,dimana aja konsultasi onlin
udah berkali kali pake dan ga pernah kecewa,5,Positive,8,udah berkali kali pake ga kecewa,6,udah berkali kali pake ga kecewa
sangat membantu di kondisi covid-19 ini ,5,Positive,6,membantu kondisi covid,3,membantu kondisi covid
dokter disini selalu terbaik deh,5,Positive,5,dokter terbaik,2,dokter terbaik
terpercaya bgt lah ini dokternya,5,Positive,5,terpercaya dokternya,2,terpercaya dokternya
lengkap banget ini layanannya,5,Positive,4,lengkap layanannya,2,lengkap layanannya
"sangat mudah digunakan ini aplikasinya, dokter stanby 24 jam.",5,Positive,11,mudah aplikasinya dokter stanby  jam,5,mudah aplikasinya dokter stanbi jam
responnya cepet dan bagus dari para dokter,5,Positive,7,responnya cepet bagus dokter,4,responnya cepet bagu dokter
"sangat puas pake app ini, responnya cepet",5,Positive,8,puas pake app responnya cepet,5,pua pake app responnya cepet
keren abis sih apps ini,5,Positive,5,keren abis apps,3,keren abi app
"memuaskan banget, dokternya fast respon ",5,Positive,6,memuaskan dokternya fast respon,4,memuaskan dokternya fast respon
solusi bgt nih dikala pandemi,5,Positive,5,solusi dikala pandemi,3,solusi dikala pandemi
responnya bagus bgt dari dokter,5,Positive,5,responnya bagus dokter,3,responnya bagu dokter
aplikasi ini sangat membantu. dokternya standby 24 jam dan pelayanannya juga sangat bagus,5,Positive,14,aplikasi membantu dokternya standby  jam pelayanannya bagus,7,aplikasi membantu dokternya standbi jam pelayanannya bagu
keren bgt lah ini apps nya,5,Positive,6,keren apps nya,3,keren app nya
ga perlu jauh jauh ke rs bisa ketemu dokter,5,Positive,9,ga rs ketemu dokter,4,ga rs ketemu dokter
videonya lancar bgt pas konsultasi,5,Positive,5,videonya lancar pas konsultasi,4,videonya lancar pa konsultasi
semoga aplikasi ini terus berjaya,5,Positive,5,semoga aplikasi berjaya,3,semoga aplikasi berjaya
yesdok selalu di hati yeay,5,Positive,5,yesdok hati yeay,3,yesdok hati yeay
mudah bgt mau konsul sama dokter,5,Positive,6,mudah konsul dokter,3,mudah konsul dokter
astaga ternyata bisa konsul gratis,5,Positive,5,astaga konsul gratis,3,astaga konsul grati
banyak fitur fitur menarik di apps ini,5,Positive,7,fitur fitur menarik apps,4,fitur fitur menarik app
video call sama dokter ga perlu antri,5,Positive,7,video call dokter ga antri,5,video call dokter ga antri
semua layanan ada di hp mantep,5,Positive,6,layanan hp mantep,3,layanan hp mantep
ngobrol sama dokter gratis mantep,5,Positive,5,ngobrol dokter gratis mantep,4,ngobrol dokter grati mantep
wah mantep bisa konsul gratis,5,Positive,5,mantep konsul gratis,3,mantep konsul grati
konsultasi sama dokter dari genggaman,5,Positive,5,konsultasi dokter genggaman,3,konsultasi dokter genggaman
selalu jadi juara kalo soal pelayanannya,5,Positive,6,juara kalo pelayanannya,3,juara kalo pelayanannya
"aplikasi ini keren banget sih, tanya tanya kesehatan gak perlu susah bolak balik ke rs apalagi ke dokter. apalagi pandemi gini, cocok banget digunain soalnya lebih praktis dan efisien. ga perlu keluar rumah terus2an. thanks yesdok, pertahankan dan tingkatkan kualitasnya ",5,Positive,46,aplikasi keren kesehatan gak susah bolak rs dokter pandemi gini cocok digunain praktis efisien ga rumah terusan thanks yesdok pertahankan tingkatkan kualitasnya,22,aplikasi keren kesehatan gak susah bolak rs dokter pandemi gini cocok digunain prakti efisien ga rumah terusan thank yesdok pertahankan tingkatkan kualitasnya
"aplikasi yang sangat membantu di masa covid , ga perlu keluar rumah lagi buat konsultasi kesehatan.",5,Positive,17,aplikasi membantu covid ga rumah konsultasi kesehatan,7,aplikasi membantu covid ga rumah konsultasi kesehatan
gampang bgt apps nya dipake,5,Positive,5,gampang apps nya dipake,4,gampang app nya dipak
artikel kesehatannya menarik bgt,5,Positive,4,artikel kesehatannya menarik,3,artikel kesehatannya menarik
ayo donlod aplikasi yesdok sekarang juga,5,Positive,6,ayo donlod aplikasi yesdok,4,ayo donlod aplikasi yesdok
sangat memuaskan pake applikasi ini dokternya standby 24 jam,5,Positive,9,memuaskan pake applikasi dokternya standby  jam,6,memuaskan pake applikasi dokternya standbi jam
konsultasi dokter bisa dari hp waaah keren!,5,Positive,8,konsultasi dokter hp waaah keren ,5,konsultasi dokter hp waaah keren
baik bgt loh dokter dokter disini,5,Positive,6,dokter dokter,2,dokter dokter
cepet bgt loh ini pelayanannya,5,Positive,5,cepet pelayanannya,2,cepet pelayanannya
ga perlu antri tp bisa konsul dokter,5,Positive,7,ga antri tp konsul dokter,5,ga antri tp konsul dokter
aplikasi ini sangat membantu untuk konsultasi langsung ke dokter tanpa harus keluar dan antri. jadi lebih flexibel,5,Positive,18,aplikasi membantu konsultasi langsung dokter antri flexibel,7,aplikasi membantu konsultasi langsung dokter antri flexibel
bagus bgt sih ini layanan dari yesdok,5,Positive,7,bagus layanan yesdok,3,bagu layanan yesdok
sangat memuaskan aplikasih in sangat membantu saya dokternya pun stanbay 24 jam,5,Positive,12,memuaskan aplikasih in membantu dokternya stanbay  jam,7,memuaskan aplikasih in membantu dokternya stanbay jam
langsung ngobrol sama dokternya manteo,5,Positive,5,langsung ngobrol dokternya manteo,4,langsung ngobrol dokternya manteo
lengkap ya hasilnya mantep yesdok,5,Positive,5,lengkap ya hasilnya mantep yesdok,5,lengkap ya hasilnya mantep yesdok
terpercaya bgt ya dokter dokternya,5,Positive,5,terpercaya ya dokter dokternya,4,terpercaya ya dokter dokternya
sangat memuaskan pake aplikasi ini dokternya stanby 24jam,5,Positive,8,memuaskan pake aplikasi dokternya stanby jam,6,memuaskan pake aplikasi dokternya stanbi jam
masalah kesehatan semua terjawab karena ada yesdok,5,Positive,7,kesehatan terjawab yesdok,3,kesehatan terjawab yesdok
ga perlu ke rs tapi bisa ketemu dokter,5,Positive,8,ga rs ketemu dokter,4,ga rs ketemu dokter
cukup lewat hp bisa langsung konsultasi. apalagi di saat masa psbb seperti ini,5,Positive,14,hp langsung konsultasi psbb,4,hp langsung konsultasi psbb
masalah kesehatan semua jadi beres,5,Positive,5,kesehatan beres,2,kesehatan bere
lengkap bgt hasil konsultasinya,5,Positive,4,lengkap hasil konsultasinya,3,lengkap hasil konsultasinya
sangat bagus,5,Positive,2,bagus,1,bagu
layananya super premium ini..,5,Positive,5,layananya super premium ,3,layananya super premium
terjawab deh langsung semua keluhan kesehatan,5,Positive,6,terjawab langsung keluhan kesehatan,4,terjawab langsung keluhan kesehatan
aplikasi dokter nya sangat memusakan,5,Positive,5,aplikasi dokter nya memusakan,4,aplikasi dokter nya memusakan
terjamin bgt ya ini kualitas dokternya,5,Positive,6,terjamin ya kualitas dokternya,4,terjamin ya kualita dokternya
bantu bgt loh buat aku yang gamau keluar rumah,5,Positive,9,bantu gamau rumah,3,bantu gamau rumah
sangat mendukung buat keadaan darurat karena 24 jam stanbay,5,Positive,9,mendukung darurat  jam stanbay,4,mendukung darurat jam stanbay
aplikasinya sangat bagus dan bermanfaat dan juga dokternya stand by 24 jam,5,Positive,12,aplikasinya bagus bermanfaat dokternya stand by  jam,7,aplikasinya bagu bermanfaat dokternya stand by jam
tanpa perlu ke rs bisa langsung ketemu dokter deh,5,Positive,9,rs langsung ketemu dokter,4,rs langsung ketemu dokter
kualitas dokternya bagus bgt,5,Positive,4,kualitas dokternya bagus,3,kualita dokternya bagu
ramah bgt ya dokternya,5,Positive,4,ramah ya dokternya,3,ramah ya dokternya
terjamin bgt deh kualitas dokternya,5,Positive,5,terjamin kualitas dokternya,3,terjamin kualita dokternya
premium bgt deh pelayanannya,5,Positive,4,premium pelayanannya,2,premium pelayanannya
pelayanannya bintang 5 nih,5,Positive,4,pelayanannya bintang ,2,pelayanannya bintang
jernih bgt sih ini aplikasinya,5,Positive,5,jernih aplikasinya,2,jernih aplikasinya
berasa punya dokter pribadi mantep,5,Positive,5,berasa dokter pribadi mantep,4,berasa dokter pribadi mantep
mau konsul apa apa jadi mudah,5,Positive,6,konsul mudah,2,konsul mudah
cukup video call udah kelar deh konsultasi,5,Positive,7,video call udah kelar konsultasi,5,video call udah kelar konsultasi
yesdok selalu jadi juaranya untuk konsul sama dokter,5,Positive,8,yesdok juaranya konsul dokter,4,yesdok juaranya konsul dokter
konsul sama dokter online video call terbantu bgt,5,Positive,8,konsul dokter online video call terbantu,6,konsul dokter onlin video call terbantu
memudahkan sekali dalam konsultasi,5,Positive,4,memudahkan konsultasi,2,memudahkan konsultasi
konsultasi online awalnya ragu tp hasilnya ternyata bagus bgt,5,Positive,9,konsultasi online ragu tp hasilnya bagus,6,konsultasi onlin ragu tp hasilnya bagu
"aplikasi sangat membantu sekali,untuk konsultasi",5,Positive,7,aplikasi membantu konsultasi,3,aplikasi membantu konsultasi
bagus banget loh konsultasi online disini,5,Positive,6,bagus konsultasi online,3,bagu konsultasi onlin
sampenya sih cepet parah nih abis pesen di yesdok. rekomendasiin banget aplikasi ini,5,Positive,14,sampenya cepet parah abis pesen yesdok rekomendasiin aplikasi,8,sampenya cepet parah abi pesen yesdok rekomendasiin aplikasi
makasih yesdok obatnya cepet bgt sampenya,5,Positive,6,makasih yesdok obatnya cepet sampenya,5,makasih yesdok obatnya cepet sampenya
astaga cepet bgt obatnya sampe mantep,5,Positive,6,astaga cepet obatnya sampe mantep,5,astaga cepet obatnya samp mantep
professional loh ini dokter dokternya,5,Positive,5,professional dokter dokternya,3,profession dokter dokternya
wah ini baru aplikasi kesehatan yang baik,5,Positive,7,aplikasi kesehatan,2,aplikasi kesehatan
beneran deh ini apps nya super bagus banget,5,Positive,8,beneran apps nya super bagus,5,beneran app nya super bagu
sangat memuaskan memakai aplikasi ini.dokternya selalu standby 24jam ,5,Positive,8,memuaskan memakai aplikasi inidokternya standby jam,6,memuaskan memakai aplikasi inidokternya standbi jam
konsultasinya professional bgt loh,5,Positive,4,konsultasinya professional,2,konsultasinya profession
sngt memuaskan dan bagus applikasinya,5,Positive,5,sngt memuaskan bagus applikasinya,4,sngt memuaskan bagu applikasinya
duh baru pertama kali coba dan langsung jatuh cinta,5,Positive,9,duh kali coba langsung jatuh cinta,6,duh kali coba langsung jatuh cinta
keren nih apps kesehatannya sukses terus deh mantap,5,Positive,8,keren apps kesehatannya sukses mantap,5,keren app kesehatannya suks mantap
"sangat bermanfaat, thanks..",5,Positive,5,bermanfaat thanks ,2,bermanfaat thank
setiap mau konsul dokter langsung buka apps ini,5,Positive,8,konsul dokter langsung buka apps,5,konsul dokter langsung buka app
mantep nih dokternya pada baik baik ya pas konsultasi,5,Positive,9,mantep dokternya ya pas konsultasi,5,mantep dokternya ya pa konsultasi
tinggal pesen eh bentaran juga nyampe deh,5,Positive,7,tinggal pesen eh bentaran nyampe,5,tinggal pesen eh bentaran nyamp
sangat memuaskan pake aplikasi ini dokternya standby 24jam disaranin bgt deh pake yesdok,5,Positive,13,memuaskan pake aplikasi dokternya standby jam disaranin pake yesdok,9,memuaskan pake aplikasi dokternya standbi jam disaranin pake yesdok
temen temen gw jg banyak yang pake yesdok mantep,5,Positive,9,temen temen gw jg pake yesdok mantep,7,temen temen gw jg pake yesdok mantep
'tim yes dok dijamin kerja keras buat apk bagus kayak gini',5,Positive,12,tim yes dok dijamin kerja keras apk bagus kayak gini,10,tim ye dok dijamin kerja kera apk bagu kayak gini
beli obatnya cepet bgt loh ini,5,Positive,6,beli obatnya cepet,3,beli obatnya cepet
dokternya disini kasih konsulnya bagus bgt,5,Positive,6,dokternya kasih konsulnya bagus,4,dokternya kasih konsulnya bagu
aplikasi ini sangat membantu aku dalam keadaan yang tidak bisa dikerjakan,5,Positive,11,aplikasi membantu,2,aplikasi membantu
udah lama download dan aku selalu pake ini,5,Positive,8,udah download pake,3,udah download pake
baik baik bgt loh ini dokternya disini,5,Positive,7,dokternya,1,dokternya
mantep bgt disini dokternya pada baik baik,5,Positive,7,mantep dokternya,2,mantep dokternya
dokternya disini juga baik baik loh guys,5,Positive,7,dokternya guys,2,dokternya guy
daftarnya mudah. sangat mudah dipakai. terima kasih yesdok,5,Positive,10,daftarnya mudah mudah dipakai terima kasih yesdok,7,daftarnya mudah mudah dipakai terima kasih yesdok
dokternya pada ramah ramah ya mantep mantep,5,Positive,7,dokternya ramah ramah ya mantep mantep,6,dokternya ramah ramah ya mantep mantep
gaakan nyesel deh pake aplikasi yesdok ini,5,Positive,7,gaakan nyesel pake aplikasi yesdok,5,gaakan nyesel pake aplikasi yesdok
wow keren bgt aplikasinya,5,Positive,4,wow keren aplikasinya,3,wow keren aplikasinya
cepetnya mantep abis untuk beli obat,5,Positive,6,cepetnya mantep abis beli obat,5,cepetnya mantep abi beli obat
cobain deh aplikasi yesdok mantep abis,5,Positive,6,cobain aplikasi yesdok mantep abis,5,cobain aplikasi yesdok mantep abi
yesdok ini emang bagus bgt aku udah coba lama,5,Positive,9,yesdok emang bagus udah coba,5,yesdok emang bagu udah coba
skrg mau beli obat ga perlu keluar deh,5,Positive,8,skrg beli obat ga,4,skrg beli obat ga
super makasih ya buat yesdok udah bantu banget,5,Positive,8,super makasih ya yesdok udah bantu,6,super makasih ya yesdok udah bantu
cobain pake aplikasi yesdok ga nyesel,5,Positive,6,cobain pake aplikasi yesdok ga nyesel,6,cobain pake aplikasi yesdok ga nyesel
bantu bgt untuk pesen obat,5,Positive,5,bantu pesen obat,3,bantu pesen obat
udah berapa kali pake dan gapernah kecewa,5,Positive,7,udah kali pake gapernah kecewa,5,udah kali pake gapernah kecewa
"terima kasih, aplikasi ini sangat membantu menjawab rasa penasaran saya ",5,Positive,11,terima kasih aplikasi membantu penasaran,5,terima kasih aplikasi membantu penasaran
layanannya juara banget brooo,5,Positive,4,layanannya juara brooo,3,layanannya juara brooo
juara betul pelayanan konsul dengan dokternya,5,Positive,6,juara pelayanan konsul dokternya,4,juara pelayanan konsul dokternya
"aplikasi sangat membantu dikala kesulitan,, dokter nya pun slalu standby,, sukses terus ",5,Positive,16,aplikasi membantu dikala kesulitan dokter nya slalu standby sukses,9,aplikasi membantu dikala kesulitan dokter nya slalu standbi suks
nganter obatnya cepet banget gapake lamaa,5,Positive,6,nganter obatnya cepet gapake lamaa,5,nganter obatnya cepet gapak lamaa
apk yang yang sangat membntu..dokter nya ramhhhhh222...,5,Positive,10,apk membntu  dokter nya ramhhhhh ,5,apk membntu dokter nya ramhhhhh
aplikasinya bagus banget ya parah flawless shimmering splendid,5,Positive,8,aplikasinya bagus ya parah flawless shimmering splendid,7,aplikasinya bagu ya parah flawless shimmer splendid
