content;score;sentiment_rating;wordCount;tweet_without_stopwords;wordCount_after_stopwords
aplikasi membantu saya untuk mengetahui apakah ibu saya memiliki penyakit yang parah atau tidak;5;Positive;14;aplikasi membantu saya untuk mengetahui apakah ibu saya memiliki penyakit yang parah atau tidak;14
terima kasih . aplikasi ini sangat membantu sya , sangat rekomended buat konsultasi online seputar kesehatan .;5;Positive;17;terima kasih . aplikasi ini sangat membantu sya , sangat rekomended buat konsultasi online seputar kesehatan .;17
aplikasi ini sangat berguna untuk saya dan masyarakat yang berada di negara indonesia ini.;5;Positive;14;aplikasi ini sangat berguna untuk saya dan masyarakat yang berada di negara indonesia ini.;14
aplikasi yesdok sangat membantu, aplikasi yang ringan, mudah digunakan serta memiliki fitur fitur yg mudah di akses. selain itu, aplikasi yesdok memberikan layanan 24 jam yang tentunya sangat membantu kita kapanpun. saya sangat merekomendasikan aplikasi yesdok kepada anda semua.;5;Positive;39;aplikasi yesdok sangat membantu, aplikasi yang ringan, mudah digunakan serta memiliki fitur fitur yg mudah di akses. selain itu, aplikasi yesdok memberikan layanan 24 jam yang tentunya sangat membantu kita kapanpun. saya sangat merekomendasikan aplikasi yesdok kepada anda semua.;39
applikasi sangat membantu trimksi yesdok👍;5;Positive;5;applikasi sangat membantu trimksi yesdok👍;5
okee banget membantu sekali,apalagi untuk kondisi covid-19 seperti ini kita di pandu untuk lebih sehat,terima kasih yesdok;5;Positive;17;okee banget membantu sekali,apalagi untuk kondisi covid-19 seperti ini kita di pandu untuk lebih sehat,terima kasih yesdok;17
app sangat membantu sekali;5;Positive;4;app sangat membantu sekali;4
sangat membantu;4;Positive;2;sangat membantu;2
terobosan baru bidang kesehatan, aplikasi bermanfaat bermanfaat bisa diakses dimanapun dan kapanpun.;5;Positive;12;terobosan baru bidang kesehatan, aplikasi bermanfaat bermanfaat bisa diakses dimanapun dan kapanpun.;12
dokternya kurang lengkap pilihan lainnya selalu dapat dokter umum;4;Positive;9;dokternya kurang lengkap pilihan lainnya selalu dapat dokter umum;9
aplikasi nya sangat bermanfaat untuk konsultasi kesehatan dengan dokter yang berpengalaman;5;Positive;11;aplikasi nya sangat bermanfaat untuk konsultasi kesehatan dengan dokter yang berpengalaman;11
sangat berguna untuk konsultasi;5;Positive;4;sangat berguna untuk konsultasi;4
aplikasi yang sangat baik, memudahkan kita untuk konsultasi tanpa harus ke rumah sakit 👍🏻😊;5;Positive;14;aplikasi yang sangat baik, memudahkan kita untuk konsultasi tanpa harus ke rumah sakit 👍🏻😊;14
good lock;5;Positive;2;good lock;2
aplikasi yang bagus! saya dapat berkonsultasi dengan dokter tidak perlu repot repot keluar rumah #lockdown;5;Positive;15;aplikasi yang bagus! saya dapat berkonsultasi dengan dokter tidak perlu repot repot keluar rumah #lockdown;15
kak...kok.gak.dapat free 2 kali .. aq pengguna baru;5;Positive;8;kak...kok.gak.dapat free 2 kali .. aq pengguna baru;8
saya merasa terbantu dengan aplikasi ini. karna tidak usah repot repot ke keluar ke dokter lebih simpel buat konsultasi. trimakasih yesdok;5;Positive;21;saya merasa terbantu dengan aplikasi ini. karna tidak usah repot repot ke keluar ke dokter lebih simpel buat konsultasi. trimakasih yesdok;21
aplikasi yang baguss banget...;5;Positive;4;aplikasi yang baguss banget...;4
sangat membantu untuk menambah pengetahuan dan menjaga kesehatan.;5;Positive;8;sangat membantu untuk menambah pengetahuan dan menjaga kesehatan.;8
aplikasi nya bagus. sangat membantu;5;Positive;5;aplikasi nya bagus. sangat membantu;5
sangat membantu dalam mendapatkan informasi medis dari dokter dan mempermudah konsultasi;5;Positive;11;sangat membantu dalam mendapatkan informasi medis dari dokter dan mempermudah konsultasi;11
inovasi yang dibilang cukup baik. untuk konsultasi pun tidak perlu repot² datang ke dokter, cukup buka aplikasi yesdok;5;Positive;18;inovasi yang dibilang cukup baik. untuk konsultasi pun tidak perlu repot² datang ke dokter, cukup buka aplikasi yesdok;18
terima kasih ,,berkat aplikasi yesdok saya bisa lebih mengerti kenapa sakit saya tak kunjung sembuh ..ternyata karena pola hidup saya yang kurang sehat .aplikasi terkeren yang saya pernah download .terima kasih yes dok .sukses selalu;5;Positive;35;terima kasih ,,berkat aplikasi yesdok saya bisa lebih mengerti kenapa sakit saya tak kunjung sembuh ..ternyata karena pola hidup saya yang kurang sehat .aplikasi terkeren yang saya pernah download .terima kasih yes dok .sukses selalu;35
sangat berguna untuk keadaan sekarang karna tidak usah pergi ke rumah sakit atau klinik;5;Positive;14;sangat berguna untuk keadaan sekarang karna tidak usah pergi ke rumah sakit atau klinik;14
aplikasi mantap jaya! sangat bermanfaat untuk saya dan keluarga;5;Positive;9;aplikasi mantap jaya! sangat bermanfaat untuk saya dan keluarga;9
salah satu applikasi yang sangat membantu saya, sangat bagus banget applikasinya;5;Positive;11;salah satu applikasi yang sangat membantu saya, sangat bagus banget applikasinya;11
aplikasi ini sangat bagus dan memudahkanku untuk bisa berkunsoltasi dengan dokter tanpa pergi kerumah sakit atau puskesmas terdekat..;5;Positive;18;aplikasi ini sangat bagus dan memudahkanku untuk bisa berkunsoltasi dengan dokter tanpa pergi kerumah sakit atau puskesmas terdekat..;18
aplikasi ini sangat bagus dan bermanfaat untuk bertanya apa saja tentang penyakit atau keluhan yang kita alami dan juga ada cara menanggulangi keluhan yang dialami;5;Positive;25;aplikasi ini sangat bagus dan bermanfaat untuk bertanya apa saja tentang penyakit atau keluhan yang kita alami dan juga ada cara menanggulangi keluhan yang dialami;25
aplikasi yang sangat bagus;5;Positive;4;aplikasi yang sangat bagus;4
aplikasi ini sangat membantu dalam konsultasi kesehatan, cepat dan praktis;5;Positive;10;aplikasi ini sangat membantu dalam konsultasi kesehatan, cepat dan praktis;10
aplikasi bagus bisa tau obt sejak dini;5;Positive;7;aplikasi bagus bisa tau obt sejak dini;7
aplikasi luar biasa! membantu saya menjaga kesehatan!;5;Positive;7;aplikasi luar biasa! membantu saya menjaga kesehatan!;7
aplikasi yesdok sangat bagus sekali, sangat membatu saya;5;Positive;8;aplikasi yesdok sangat bagus sekali, sangat membatu saya;8
aplikasi yang sangat membantu sekali dalam keadaan seperti ini di hantui covid19 jadi gampang konsultasi,thanks free consult 2xnya;5;Positive;18;aplikasi yang sangat membantu sekali dalam keadaan seperti ini di hantui covid19 jadi gampang konsultasi,thanks free consult 2xnya;18
mantap bisa konsultasi;5;Positive;3;mantap bisa konsultasi;3
aplikasi sangat berguna, bermanfaat dan sangat membantu saya;5;Positive;8;aplikasi sangat berguna, bermanfaat dan sangat membantu saya;8
aplikasi bagus buat konsultasi terutama musim wabah begini. bisa konsultasi dari rumah;5;Positive;12;aplikasi bagus buat konsultasi terutama musim wabah begini. bisa konsultasi dari rumah;12
aplikasi yang sangat membantu, bagus dan recomended;5;Positive;7;aplikasi yang sangat membantu, bagus dan recomended;7
aplikasi sangat membantu sekali;5;Positive;4;aplikasi sangat membantu sekali;4
aplikasinya sangat membantu untuk mengetahui kesehatan kita tinggal konsultasikan lewat aplikasi...;5;Positive;11;aplikasinya sangat membantu untuk mengetahui kesehatan kita tinggal konsultasikan lewat aplikasi...;11
aplikasi yg sangat membantu, sukses terus yesdok ..semoga kedepannya semakin bagus lagi pelayanannya;5;Positive;13;aplikasi yg sangat membantu, sukses terus yesdok ..semoga kedepannya semakin bagus lagi pelayanannya;13
aplikasi ini sangat membantu saya, sangat bermanfaat untuk konsultasi kesehatan jarak jauh;5;Positive;12;aplikasi ini sangat membantu saya, sangat bermanfaat untuk konsultasi kesehatan jarak jauh;12
sangat membantu bagi orang awam/orang biasa untuk bisa setiap saat menanyakan apapun terhadap dokter lwt aplikasi ini.;5;Positive;17;sangat membantu bagi orang awam/orang biasa untuk bisa setiap saat menanyakan apapun terhadap dokter lwt aplikasi ini.;17
sangat membantu untuk konsultasi tanpa harus repot pergi ke klinik / tempat praktek;5;Positive;13;sangat membantu untuk konsultasi tanpa harus repot pergi ke klinik / tempat praktek;13
mantap;5;Positive;1;mantap;1
dijaman modern kyk skrng gini , kemudahan aplikasi yg model begini gw demen bgt;5;Positive;14;dijaman modern kyk skrng gini , kemudahan aplikasi yg model begini gw demen bgt;14
aplikasi yang sangat berguna dan membantu. terimakasih;5;Positive;7;aplikasi yang sangat berguna dan membantu. terimakasih;7
sangat membantu banget terima kasih yesdok;5;Positive;6;sangat membantu banget terima kasih yesdok;6
aplikasi ini sangat membantu buat saya untuk konsultasi ke doter;5;Positive;10;aplikasi ini sangat membantu buat saya untuk konsultasi ke doter;10
aplikasi kesehatan yang sangat berguna bagi saya yang ingin sehat;5;Positive;10;aplikasi kesehatan yang sangat berguna bagi saya yang ingin sehat;10
aplikasi ini sangat membatu untuk mengetahui penyakit yg saya derita;5;Positive;10;aplikasi ini sangat membatu untuk mengetahui penyakit yg saya derita;10
sangat membantu untuk kondisi darurat covid 19 saat ini;4;Positive;9;sangat membantu untuk kondisi darurat covid 19 saat ini;9
sangat membantu untuk konsultasi masalah kesehatan 👍👍;5;Positive;7;sangat membantu untuk konsultasi masalah kesehatan 👍👍;7
aplikasi ini mempermudah saya untuk berkonsultasi dengan dokter secara daring dan sangat bermanfaat apalagi dalam kondisi sedang maraknya wabah virus corona ini;5;Positive;22;aplikasi ini mempermudah saya untuk berkonsultasi dengan dokter secara daring dan sangat bermanfaat apalagi dalam kondisi sedang maraknya wabah virus corona ini;22
yesdok memang ok, aplikasi gak lelet dan cepat di tanggapi ketika mau konsultasi;5;Positive;13;yesdok memang ok, aplikasi gak lelet dan cepat di tanggapi ketika mau konsultasi;13
aku sangat senang.... dan terima kasih banyak atas bantuannya;5;Positive;9;aku sangat senang.... dan terima kasih banyak atas bantuannya;9
aplikasi ini sangat membantu sekali untuk saya dan kesehatan saya terima kasih yesdok.;5;Positive;13;aplikasi ini sangat membantu sekali untuk saya dan kesehatan saya terima kasih yesdok.;13
setelah saya download apliaksi yes dok ,saya konsultasi , dan keraguan saya terjawab, oke banget, trima kasih yes dok.;5;Positive;19;setelah saya download apliaksi yes dok ,saya konsultasi , dan keraguan saya terjawab, oke banget, trima kasih yes dok.;19
aplikasinya friendly banget. mudah di mengerti dan data diri juga di enskripsi jadi gak takut bocor datanya. untuk pelayanannya juga bagus banget.;5;Positive;22;aplikasinya friendly banget. mudah di mengerti dan data diri juga di enskripsi jadi gak takut bocor datanya. untuk pelayanannya juga bagus banget.;22
yesdok aplikasi yang sangat membantu..untuk kesehatan masyarakat..;5;Positive;7;yesdok aplikasi yang sangat membantu..untuk kesehatan masyarakat..;7
bagus banget, sangat membantu, dan gak perlu keluar rumah, recommended buat para bunda bunda;5;Positive;14;bagus banget, sangat membantu, dan gak perlu keluar rumah, recommended buat para bunda bunda;14
aplikasi yang bagus, dengan aplikasi ini mempermudah saya berkonsultasi dengan dokter dengan harga terjangkau. halaman beranda juga dilengkapi dengan informasi kesehatan yang sangat bermanfaat. terima kasih.;5;Positive;26;aplikasi yang bagus, dengan aplikasi ini mempermudah saya berkonsultasi dengan dokter dengan harga terjangkau. halaman beranda juga dilengkapi dengan informasi kesehatan yang sangat bermanfaat. terima kasih.;26
aplikasi yesdok sangat bermanfaat, membantu saya untuk konsultasi dan memahami tentang kesehatan. terima kasih yesdok;5;Positive;15;aplikasi yesdok sangat bermanfaat, membantu saya untuk konsultasi dan memahami tentang kesehatan. terima kasih yesdok;15
aplikasi jaman modern, ketika sakit gak harus pergi ke rumah sakit.. tinggal konsultasi, lalu membeli obat di apotek;5;Positive;18;aplikasi jaman modern, ketika sakit gak harus pergi ke rumah sakit.. tinggal konsultasi, lalu membeli obat di apotek;18
aplikasi ini sangat membantu saya;5;Positive;5;aplikasi ini sangat membantu saya;5
baru pertama download dan daftar akun di yesdok, langsung dpt free 2x konsultasi, semoga kedepannya semakin baik dan membantu banyak org;5;Positive;21;baru pertama download dan daftar akun di yesdok, langsung dpt free 2x konsultasi, semoga kedepannya semakin baik dan membantu banyak org;21
aplikasi yang sangat berguna, saya recomendasi untuk seluruh warga indonesia. sangat membantu dalam keluarga saya;5;Positive;15;aplikasi yang sangat berguna, saya recomendasi untuk seluruh warga indonesia. sangat membantu dalam keluarga saya;15
mantap konsultasi dokter dlu ga pernah sedekat ini. tinggal gerakan jari lsg deh mantullll..tq yesdok;5;Positive;15;mantap konsultasi dokter dlu ga pernah sedekat ini. tinggal gerakan jari lsg deh mantullll..tq yesdok;15
aplikasi ini sangat membantu saya dalam mencari dokter secara online;5;Positive;10;aplikasi ini sangat membantu saya dalam mencari dokter secara online;10
aplikasi yg bagus, memudahkan saya untuk berkonsultasi tntg keluhan penyakit apa pun dan menghemat waktu dan tenaga;5;Positive;17;aplikasi yg bagus, memudahkan saya untuk berkonsultasi tntg keluhan penyakit apa pun dan menghemat waktu dan tenaga;17
aplikasi yg sangat berguna dan membantu... like it;5;Positive;8;aplikasi yg sangat berguna dan membantu... like it;8
aplikasi yang sangat berguna terlebih sekarang lagi ada wabah virus corona, sangat membantu kami yang masih awam.. thanks..👍👍😘;5;Positive;18;aplikasi yang sangat berguna terlebih sekarang lagi ada wabah virus corona, sangat membantu kami yang masih awam.. thanks..👍👍😘;18
mantap aplikasinya. sangat bermanfaat.;5;Positive;4;mantap aplikasinya. sangat bermanfaat.;4
keren, disaat kondisi sedang darurat virus covid19 kita bisa konsultasi online, jd gaperlu keluar rumah, thanks yesdok semoga makin maju dan sukses;5;Positive;22;keren, disaat kondisi sedang darurat virus covid19 kita bisa konsultasi online, jd gaperlu keluar rumah, thanks yesdok semoga makin maju dan sukses;22
dengan adanya aplikasi yesdok 24 jam sangat membantu untuk konsultasi tanpa harus berkunjung untuk berobat di tambah dengan dokter yang berpengalman dan ramah, sukses terus yesdok, semoga sellu bermanfaat untuk rakyat indonesia;5;Positive;32;dengan adanya aplikasi yesdok 24 jam sangat membantu untuk konsultasi tanpa harus berkunjung untuk berobat di tambah dengan dokter yang berpengalman dan ramah, sukses terus yesdok, semoga sellu bermanfaat untuk rakyat indonesia;32
mantap dan mudah...;5;Positive;3;mantap dan mudah...;3
mantap mempermudah konsultasi masalah kesehatan;5;Positive;5;mantap mempermudah konsultasi masalah kesehatan;5
aplikasi sangat membantu saya dan keluarga. terimakasih yesdok.;5;Positive;8;aplikasi sangat membantu saya dan keluarga. terimakasih yesdok.;8
aplikasi yesdok adalah aplikasi yang sangat membantu hususnya buatku aku. apalagi sekarang sedang marak maraknya virus corona yg membuat kita sulit untuk keluar rumah apalagi untuk konsul ke dokter, jadi ga perlu khawatir lagi kalo kita mau konsul ke dokter tinggal buka apps yesdok aja guys, bisa via telepon dan video . pokoknya nyaman deh konsul di yesdok makasih dok ,;5;Positive;61;aplikasi yesdok adalah aplikasi yang sangat membantu hususnya buatku aku. apalagi sekarang sedang marak maraknya virus corona yg membuat kita sulit untuk keluar rumah apalagi untuk konsul ke dokter, jadi ga perlu khawatir lagi kalo kita mau konsul ke dokter tinggal buka apps yesdok aja guys, bisa via telepon dan video . pokoknya nyaman deh konsul di yesdok makasih dok ,;61
aplikasi yang sangat bermanfaat dan bagus sekali. saya bisa berkonsultasi terlebih dahulu sebelum pergi secara langsung ke dokter untuk konsultasi lebih lanjut. terima kasih yesdok sudah sangat membantu :);5;Positive;29;aplikasi yang sangat bermanfaat dan bagus sekali. saya bisa berkonsultasi terlebih dahulu sebelum pergi secara langsung ke dokter untuk konsultasi lebih lanjut. terima kasih yesdok sudah sangat membantu :);29
aplikasi sangat bermanfaat untuk masyarakat luas;5;Positive;6;aplikasi sangat bermanfaat untuk masyarakat luas;6
aplikasi ini sangat membantu, apalgi situasi sedang menghadapi virus covid19. recomended;5;Positive;11;aplikasi ini sangat membantu, apalgi situasi sedang menghadapi virus covid19. recomended;11
sangant membantu apalagi di situasi seperti ini;5;Positive;7;sangant membantu apalagi di situasi seperti ini;7
apalikasi yang sangat membantu sekali, apalagi pada saat pandemi covid19;5;Positive;10;apalikasi yang sangat membantu sekali, apalagi pada saat pandemi covid19;10
aplikasinya sangat membantu dan berguna;5;Positive;5;aplikasinya sangat membantu dan berguna;5
aplikasinya sangat membantu dan berguna;5;Positive;5;aplikasinya sangat membantu dan berguna;5
aplikasinya sangat membantu dan berguna;5;Positive;5;aplikasinya sangat membantu dan berguna;5
aplikasinya bagus, dan untuk pembayarannya mudah banget karena bisa melakukan pembayaran melalui akun dana, link dan debet. kosultasinya juga asik.;5;Positive;20;aplikasinya bagus, dan untuk pembayarannya mudah banget karena bisa melakukan pembayaran melalui akun dana, link dan debet. kosultasinya juga asik.;20
aplikasi yang bagus sangat membantu dan mempermudah konsultasi dengan dokter di tengah ramenya virus covid 19;5;Positive;16;aplikasi yang bagus sangat membantu dan mempermudah konsultasi dengan dokter di tengah ramenya virus covid 19;16
aplikasi yang sangat berguna dan sangag membantu bagi keluarga saya kalian harus download aplikasi ini supaya tahu manfaatnya;5;Positive;18;aplikasi yang sangat berguna dan sangag membantu bagi keluarga saya kalian harus download aplikasi ini supaya tahu manfaatnya;18
sangat bagus;5;Positive;2;sangat bagus;2
aplikasi ini sangat membantu untuk menanganani segala yg kita keluhkan;5;Positive;10;aplikasi ini sangat membantu untuk menanganani segala yg kita keluhkan;10
wah bagus, bisa konsultasi dengan dokter;5;Positive;6;wah bagus, bisa konsultasi dengan dokter;6
mantap;5;Positive;1;mantap;1
"sangat membantu, tidak perlu ke dokter jauh""";5;Positive;7;"sangat membantu, tidak perlu ke dokter jauh""";7
sangat bermanfaat untuk masalah kesehatan;5;Positive;5;sangat bermanfaat untuk masalah kesehatan;5
sangat bermanfaat untuk konsultasi masalah kesehatan..;5;Positive;6;sangat bermanfaat untuk konsultasi masalah kesehatan..;6
keren aplikasinya bisa tanya langsung dokter sampai masalah terselesaikan👍;5;Positive;9;keren aplikasinya bisa tanya langsung dokter sampai masalah terselesaikan👍;9
aplikasi ini sangat membantu saya, kususnya saya anak kost, sangat berguna sekali, tidak menyesal sama sekali buat downloadnya, thanks yesdok, sukses selalu;5;Positive;22;aplikasi ini sangat membantu saya, kususnya saya anak kost, sangat berguna sekali, tidak menyesal sama sekali buat downloadnya, thanks yesdok, sukses selalu;22
trimaksih yesdok akhirnya saya dan ayah saya bisa konsultasi dengan mudah. suxes selalu yesdok;5;Positive;14;trimaksih yesdok akhirnya saya dan ayah saya bisa konsultasi dengan mudah. suxes selalu yesdok;14
ok;4;Positive;1;ok;1
sangat membantu untuk keluarga saya. dengan adanya yesdok kita tidak usah pergi rumah sakit atau klinik kita hanya perlu membuka aplikasi yesdok dan bisa konsultasi dengan dokter. mudah sekali;5;Positive;29;sangat membantu untuk keluarga saya. dengan adanya yesdok kita tidak usah pergi rumah sakit atau klinik kita hanya perlu membuka aplikasi yesdok dan bisa konsultasi dengan dokter. mudah sekali;29
aplikasi ini sangat membantu saya , terutama dalam pelayanan kesehatan saya. . terimakasih;5;Positive;13;aplikasi ini sangat membantu saya , terutama dalam pelayanan kesehatan saya. . terimakasih;13
aplikasi ini bermanfaat sekali, konsultasi tidak harus datang menemui langsung melainkan langsung bisa lewat hp;5;Positive;15;aplikasi ini bermanfaat sekali, konsultasi tidak harus datang menemui langsung melainkan langsung bisa lewat hp;15
aplikasi yang sangat berguna, sangat membantu saya untuk konsultasi mengenai gejala yang saya alami;5;Positive;14;aplikasi yang sangat berguna, sangat membantu saya untuk konsultasi mengenai gejala yang saya alami;14
kerennnn, dokter nya profesional !!!!;5;Positive;5;kerennnn, dokter nya profesional !!!!;5
aplikasi yang sangat berguna dan sangat membantu untuk memelihara kesehatan saya;5;Positive;11;aplikasi yang sangat berguna dan sangat membantu untuk memelihara kesehatan saya;11
konsultasi ke dokter tanpa keluar rumah. sangat membantu saat virus dimana-mana seperti ini.;5;Positive;13;konsultasi ke dokter tanpa keluar rumah. sangat membantu saat virus dimana-mana seperti ini.;13
kerenn, bisa konsultasi langsung. semoga makin sukses kedepan nga yesdok 🤲;5;Positive;11;kerenn, bisa konsultasi langsung. semoga makin sukses kedepan nga yesdok 🤲;11
nice apk;5;Positive;2;nice apk;2
baik sekali,alhamdulilah gaperlu keluar rumah dengan aplikasi ini;5;Positive;8;baik sekali,alhamdulilah gaperlu keluar rumah dengan aplikasi ini;8
aplikasi sangat bermanfaaat sekali keren;5;Positive;5;aplikasi sangat bermanfaaat sekali keren;5
aplikasi bagus banget dokternya ramah ..di tingkatin lagi;5;Positive;8;aplikasi bagus banget dokternya ramah ..di tingkatin lagi;8
good banget dah aplikasi nyaaaa membatu banget;5;Positive;7;good banget dah aplikasi nyaaaa membatu banget;7
aplikasi keren ni bro ..bermanfaat .. konsultasi gratis dngan dokter;5;Positive;10;aplikasi keren ni bro ..bermanfaat .. konsultasi gratis dngan dokter;10
yesdok aplikasi recomended bangetsssss keren;5;Positive;5;yesdok aplikasi recomended bangetsssss keren;5
aplikasi nya bagus banget ..mohon di kembangin lagi;5;Positive;8;aplikasi nya bagus banget ..mohon di kembangin lagi;8
aplikasi membantu masyakarat . bagus banget;5;Positive;6;aplikasi membantu masyakarat . bagus banget;6
aplikasi yang sangat membantu untuk konsultasi dengan dokter secara online dengan mudah;5;Positive;12;aplikasi yang sangat membantu untuk konsultasi dengan dokter secara online dengan mudah;12
aplikasi yg sangat membantu masyarakat;5;Positive;5;aplikasi yg sangat membantu masyarakat;5
aplikasi yg baguss terus di kembangin .. keren banget;5;Positive;9;aplikasi yg baguss terus di kembangin .. keren banget;9
bagus banget aplikasinya , memberikan solusi yang baik dan cepat;5;Positive;10;bagus banget aplikasinya , memberikan solusi yang baik dan cepat;10
aplikasi ini sangat membantu anak kosan seperti saya;5;Positive;8;aplikasi ini sangat membantu anak kosan seperti saya;8
aplikasi yang bagus dan cepat tanggap dalam memberikan solusi terkait masalah kesehatan dan sangat direkomendasikan dalam urusan kesehatan;4;Positive;18;aplikasi yang bagus dan cepat tanggap dalam memberikan solusi terkait masalah kesehatan dan sangat direkomendasikan dalam urusan kesehatan;18
sangat membantu apalagi saat tidak boleh keluar rumah di ko disi sekarang:);5;Positive;12;sangat membantu apalagi saat tidak boleh keluar rumah di ko disi sekarang:);12
aplikasi yang memudah kan kita untuk tetap sehat di sela sela kesibukan, dengan fitur konsultasi secara online yang mudah dan dapat dilakukan dimana saja!!!;5;Positive;24;aplikasi yang memudah kan kita untuk tetap sehat di sela sela kesibukan, dengan fitur konsultasi secara online yang mudah dan dapat dilakukan dimana saja!!!;24
aplikasi sangat membantu sekali;5;Positive;4;aplikasi sangat membantu sekali;4
mantap;5;Positive;1;mantap;1
sangat bermanfaat banget. sekarang kalau sakit gak harus jauh-jauh ke klinik, konsultasi dulu saja di yesdok. ditambah lagi cocok buat anak kosan seperti saya;5;Positive;24;sangat bermanfaat banget. sekarang kalau sakit gak harus jauh-jauh ke klinik, konsultasi dulu saja di yesdok. ditambah lagi cocok buat anak kosan seperti saya;24
bagus , untuk konsultasi dan mudah dimengerti penyampaian bagus;5;Positive;9;bagus , untuk konsultasi dan mudah dimengerti penyampaian bagus;9
aplikasi bagus,sangat mudah sekali untuk berkonsultasi . makasih yesdok;5;Positive;9;aplikasi bagus,sangat mudah sekali untuk berkonsultasi . makasih yesdok;9
aplikasi yesdok ini sangat brmanfaat bagi saya.terimakasih yesdokk;5;Positive;8;aplikasi yesdok ini sangat brmanfaat bagi saya.terimakasih yesdokk;8
aplikasi bagus!! tanya² ke dokter jadi lebih mudah;5;Positive;8;aplikasi bagus!! tanya² ke dokter jadi lebih mudah;8
aplikasi yang sangat bagus. sangat membantu bagi ibu2 muda seperti saya, kalau anak sakit bisa konsultasi terlebih dahulu ke aplikasi ini, jd ga harus ke rumah sakit/klinik dl.;5;Positive;28;aplikasi yang sangat bagus. sangat membantu bagi ibu2 muda seperti saya, kalau anak sakit bisa konsultasi terlebih dahulu ke aplikasi ini, jd ga harus ke rumah sakit/klinik dl.;28
aplikasi yang sangat membantu kita yang mageran untuk antri ke dokter;5;Positive;11;aplikasi yang sangat membantu kita yang mageran untuk antri ke dokter;11
app. yes dok benerbener bantu banget badan berasa kurang fit tinggal klik aja langsung bisa konsultasi terimakasih yesdok;5;Positive;18;app. yes dok benerbener bantu banget badan berasa kurang fit tinggal klik aja langsung bisa konsultasi terimakasih yesdok;18
konsultasi dengan dokter lebih mudah;5;Positive;5;konsultasi dengan dokter lebih mudah;5
aplikasi yang sangat membantu;5;Positive;4;aplikasi yang sangat membantu;4
aplikasinya ngebantu bgt dan mudah untuk untuk digunakan. semoga kedepannya fiturnya ditambah lg ya;5;Positive;14;aplikasinya ngebantu bgt dan mudah untuk untuk digunakan. semoga kedepannya fiturnya ditambah lg ya;14
sangat membantu sekali dalam berkonsultasi;5;Positive;5;sangat membantu sekali dalam berkonsultasi;5
aplikasi ini sangat mudah digunakan dan menunya cukup lengkap.;5;Positive;9;aplikasi ini sangat mudah digunakan dan menunya cukup lengkap.;9
yesdok, harus melengkapi dokter spesialis seperti : dokter spesialis penyakit dalam, dokter spesialis urologi, dll;4;Positive;15;yesdok, harus melengkapi dokter spesialis seperti : dokter spesialis penyakit dalam, dokter spesialis urologi, dll;15
"sangatembantu, terus tingkatkan kualitas pelayanan. dan tambahkan fitur"" menarik lainnya";5;Positive;10;"sangatembantu, terus tingkatkan kualitas pelayanan. dan tambahkan fitur"" menarik lainnya";10
aplikasi bagus dan sangat membantu saya dalam melakukan banyak hal;5;Positive;10;aplikasi bagus dan sangat membantu saya dalam melakukan banyak hal;10
sangat membantu untuk mengetahui penyakit yang selama ini saya alami dan telah diberi solusi untuk penyembuhannya.;5;Positive;16;sangat membantu untuk mengetahui penyakit yang selama ini saya alami dan telah diberi solusi untuk penyembuhannya.;16
aplikasi sangat membantu dan recommended;5;Positive;5;aplikasi sangat membantu dan recommended;5
sangat membantu pada saat-saat seperti sekarang ini, jadi tidak perlu keluar rumah.;5;Positive;12;sangat membantu pada saat-saat seperti sekarang ini, jadi tidak perlu keluar rumah.;12
aplikasi yesdok, sangat membantu sekali.. konsultasi dengan tarif yg sangat terjangkau.. yesdok menjadi pilihan keluargaku untuk mendapatkan informasi keluhan seputar kesehatan dan beserta obatnya.. sukses selalu yesdok..;5;Positive;27;aplikasi yesdok, sangat membantu sekali.. konsultasi dengan tarif yg sangat terjangkau.. yesdok menjadi pilihan keluargaku untuk mendapatkan informasi keluhan seputar kesehatan dan beserta obatnya.. sukses selalu yesdok..;27
aplikasinya sangat membantu;5;Positive;3;aplikasinya sangat membantu;3
terimakasih;5;Positive;1;terimakasih;1
aplikasi yang sangat membantu sekali, semoga kedepannya menjadi lebih baik lagi;5;Positive;11;aplikasi yang sangat membantu sekali, semoga kedepannya menjadi lebih baik lagi;11
mantap pelayanannya deh, ga nyesel pake aplikasi ini;5;Positive;8;mantap pelayanannya deh, ga nyesel pake aplikasi ini;8
aplikasi yang sangat bermanfaat dan sangat membantu bagi semua kalangan;5;Positive;10;aplikasi yang sangat bermanfaat dan sangat membantu bagi semua kalangan;10
aplikasi yang sangat membantu, memudah kan ketika berkonsuktasi dengan dokter dan dokter yang ada sangat ramah-ramah dan baik, aplikasinya juga mudah di gunakan;5;Positive;23;aplikasi yang sangat membantu, memudah kan ketika berkonsuktasi dengan dokter dan dokter yang ada sangat ramah-ramah dan baik, aplikasinya juga mudah di gunakan;23
sangat membantu sekali, langsung dijawab oleh dokter yang begitu ramah;5;Positive;10;sangat membantu sekali, langsung dijawab oleh dokter yang begitu ramah;10
wow aplikasinya sangat membantu sekali langsung dari dokter yang ramah dan memberikan penjelasan dengan baik;5;Positive;15;wow aplikasinya sangat membantu sekali langsung dari dokter yang ramah dan memberikan penjelasan dengan baik;15
